В этом задании вам нужно провести анализ посетителей сайта за разные месяцы: определить постоянных посетителей, чтобы разослать им предложения по партнерской программе, и выявить тех, кто перестал посещать сайт, чтобы разослать им рекламные акции.

Вам дана таблица с визитами пользователей за три месяца (январь, февраль и март)

Таблица visits

user_id	visit_date
1	2023-02-10T14:10:20
1	2023-02-14T20:29:25
1	2023-03-27T16:58:51
1	2023-03-10T14:08:35
1	2023-03-13T04:36:18
2	2023-02-08T02:39:44
2	2023-03-22T20:05:18
3	2023-01-30T10:22:27
3	2023-02-16T06:14:04
4	2023-01-06T10:41:10
4	2023-01-20T18:44:43
4	2023-02-06T15:25:07
Составьте запрос, который вернет количество пользователей трех групп:

постоянных пользователей за все месяца: январь, февраль и март
пользователей, которые перестали посещать сайт после января
пользователей, которое перестали посещать сайт после февраля
(32,'2023-01-22T20:07:01'),
(32,'2023-01-06T16:47:45'),
(32,'2023-02-09T07:34:23'),
(32,'2023-02-23T09:33:31'),
(32,'2023-02-06T09:18:26'),
(32,'2023-03-12T14:28:07'),
(32,'2023-03-17T02:32:52'),
(33,'2023-02-04T14:33:47'),
(34,'2023-01-07T19:24:24'),
(34,'2023-01-24T16:27:59'),
(34,'2023-02-16T06:47:33'),
(34,'2023-02-22T19:03:13'),
(34,'2023-02-25T12:13:28'),
(34,'2023-03-23T23:39:24'),
(34,'2023-03-19T17:52:26'),
(35,'2023-01-18T17:32:35'),
(35,'2023-01-14T10:01:56'),
(35,'2023-01-03T08:49:20'),
(35,'2023-02-18T00:12:29'),
(35,'2023-02-06T12:40:41'),
(35,'2023-02-05T09:35:43'),
(35,'2023-03-02T00:04:13'),
(36,'2023-03-29T06:22:59'),
(36,'2023-03-10T22:17:36'),
(37,'2023-01-04T13:44:11'),
(37,'2023-02-09T07:38:20'),
(37,'2023-02-10T11:26:45'),
(37,'2023-02-18T04:34:01'),
(37,'2023-03-20T21:43:03'),
(37,'2023-03-18T15:35:15'),
(37,'2023-03-02T00:28:20'),
(38,'2023-02-26T17:33:42'),
(38,'2023-02-01T15:53:14'),
(38,'2023-02-06T07:11:57'),
(38,'2023-03-28T22:23:24'),
(38,'2023-03-11T13:16:35'),
(38,'2023-03-20T11:00:34'),
(39,'2023-02-10T18:53:27'),
(39,'2023-03-15T06:43:48'),
(39,'2023-03-22T10:20:56'),
(40,'2023-01-16T17:06:33'),
(40,'2023-01-23T06:37:55'),
(40,'2023-01-06T15:50:32'),
(40,'2023-02-09T11:07:19'),
(40,'2023-03-30T11:38:13'),
(41,'2023-01-19T05:16:06'),
(41,'2023-01-01T09:01:50'),
(41,'2023-01-19T21:20:56'),
(41,'2023-02-09T18:11:29'),
(41,'2023-02-27T15:14:46'),
(41,'2023-02-26T12:30:46'),
(42,'2023-01-13T12:56:03'),
(42,'2023-02-25T20:06:27'),
(42,'2023-02-13T14:30:28'),
(42,'2023-02-17T19:25:34'),
(42,'2023-03-28T18:30:37'),
(42,'2023-03-01T15:34:51'),
(42,'2023-03-21T12:19:04'),
(44,'2023-02-15T01:37:18'),
(44,'2023-02-18T05:56:14'),
(44,'2023-02-24T09:38:36'),
(44,'2023-03-02T13:30:04'),
(45,'2023-01-13T08:34:09'),
(45,'2023-02-21T12:09:01'),
(45,'2023-02-08T04:29:57'),
(45,'2023-03-27T09:34:48'),
(46,'2023-01-25T00:48:43'),
(46,'2023-01-28T22:49:52'),
(46,'2023-03-08T21:59:00'),
(47,'2023-01-23T06:18:50'),
(47,'2023-01-30T09:47:10'),
(47,'2023-01-19T10:02:44'),
(47,'2023-03-09T13:25:54'),
(47,'2023-03-14T05:43:08'),
(47,'2023-03-25T17:46:49'),
(48,'2023-01-17T02:42:56'),
(48,'2023-02-16T11:13:08'),
(48,'2023-02-25T13:25:48'),
(48,'2023-03-28T16:05:12'),
(49,'2023-01-12T07:40:59'),
(49,'2023-02-15T02:42:26'),
(49,'2023-02-04T19:56:19'),
(49,'2023-02-23T08:34:07'),
(49,'2023-03-08T20:48:50'),
(49,'2023-03-04T16:05:34'),
(49,'2023-03-24T00:39:08'),
(50,'2023-01-11T14:18:02'),
(50,'2023-02-14T10:12:08'),
(50,'2023-02-27T13:35:09'),
(50,'2023-02-24T08:39:55'),
(50,'2023-03-21T06:42:45');
